DIRECCION,SUPERFICIE,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
RIVADAVIA 3500,"190","150000","12000000","790","63158","80",CUARTO,ALMAGRO,"5"
PRINGLES 100,"242","230000","18400000","950","76033","80",CUARTO,ALMAGRO,"5"
"PERON, JUAN DOMINGO, TTE. 3400","211","265000","21200000","1256","100474","80",CUARTO,ALMAGRO,"5"
MEXICO 4000,"320","300000","24000000","938","75000","80",CUARTO,ALMAGRO,"5"
VENEZUELA 4067,"250","305000","24400000","1220","97600","80",CUARTO,ALMAGRO,"5"
"BOCAYUVA, QUINTINO 600","210","310000","24800000","1476","118095","80",CUARTO,ALMAGRO,"5"
LAVALLE 3300,"150","320000","25600000","2133","170667","80",CUARTO,ALMAGRO,"5"
LINIERS VIRREY 300,"820","325000","26000000","396","31707","80",CUARTO,ALMAGRO,"5"
GASCON 700,"136","325000","26000000","2390","191176","80",CUARTO,ALMAGRO,"5"
TREINTA Y TRES ORIENTALES 200,"217","329000","26320000","1516","121290","80",CUARTO,ALMAGRO,"5"
LINIERS VIRREY 600,"310","340000","27200000","1097","87742","80",CUARTO,ALMAGRO,"5"
BOEDO 100,"151","380000","30400000","2517","201324","80",CUARTO,ALMAGRO,"5"
"SALGUERO, JERONIMO 41","352","395000","31600000","1122","89773","80",CUARTO,ALMAGRO,"5"
SANCHEZ DE BUSTAMANTE 800,"243","400000","32000000","1646","131687","80",CUARTO,ALMAGRO,"5"
GALLO 200,"685","420000","33600000","613","49051","80",CUARTO,ALMAGRO,"5"
YAPEYU 200,"296","430000","34400000","1453","116216","80",CUARTO,ALMAGRO,"5"
"CASTRO, BARROS 200","149","440000","35200000","2953","236242","80",CUARTO,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FRANCISCO 1000","825","450000","36000000","546","43636","80",CUARTO,ALMAGRO,"5"
BELGRANO 3800,"188","450000","36000000","2394","191489","80",CUARTO,ALMAGRO,"5"
QUERANDIES 4200,"234","450000","36000000","1923","153846","80",CUARTO,ALMAGRO,"5"
MEXICO 3400,"300","460000","36800000","1533","122667","80",CUARTO,ALMAGRO,"5"
HUMAHUACA 3800,"1186","4900000","392000000","4132","330523","80",CUARTO,ALMAGRO,"5"
MAZA 700,"162","299000","23920000","1846","147654","80",CUARTO,ALMAGRO,"5"
BULNES 1200,"115","550000","44000000","4783","382609","80",CUARTO,ALMAGRO,"5"
TUCUMAN 3300,"122","260000","20800000","2131","170492","80",CUARTO,BALVANERA,"3"
AGRELO 3200,"270","319000","25520000","1182","94518","80",CUARTO,BALVANERA,"3"
ECUADOR 800,"261","450000","36000000","1724","137931","80",CUARTO,BALVANERA,"3"
CORRIENTES 3400,"1295","12000000","960000000","9266","741313","80",CUARTO,BALVANERA,"3"
MISIONES 190,"104","180000","14400000","1731","138462","80",CUARTO,BALVANERA,"3"
VENEZUELA 3031,"270","228000","18240000","844","67556","80",CUARTO,BALVANERA,"3"
DEAN FUNES 600,"170","230000","18400000","1353","108235","80",CUARTO,BALVANERA,"3"
AGRELO 3000,"150","252000","20160000","1680","134400","80",CUARTO,BALVANERA,"3"
24 DE NOVIEMBRE 300,"187","260000","20800000","1390","111230","80",CUARTO,BALVANERA,"3"
MORENO 2706,"203","270000","21600000","1330","106404","80",CUARTO,BALVANERA,"3"
VENEZUELA 3000,"173","275000","22000000","1590","127168","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"247","290000","23200000","1174","93927","80",CUARTO,BALVANERA,"3"
CATAMARCA 589,"198","295000","23600000","1490","119192","80",CUARTO,BALVANERA,"3"
SAAVEDRA 300,"357","300000","24000000","840","67227","80",CUARTO,BALVANERA,"3"
PASCO 200,"141","310000","24800000","2199","175886","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"249","310000","24800000","1245","99598","80",CUARTO,BALVANERA,"3"
AGRELO 3200,"270","319000","25520000","1182","94518","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"248","340000","27200000","1371","109677","80",CUARTO,BALVANERA,"3"
VENEZUELA 2000,"267","350000","28000000","1311","104869","80",CUARTO,BALVANERA,"3"
DEAN FUNES 522,"248","350000","28000000","1411","112903","80",CUARTO,BALVANERA,"3"
SARMIENTO 3000,"490","350000","28000000","714","57143","80",CUARTO,BALVANERA,"3"
CHILE 2300,"333","385000","30800000","1156","92492","80",CUARTO,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 3131","204","391500","31320000","1919","153529","80",CUARTO,BALVANERA,"3"
MEXICO 3200,"3882","6000000","480000000","1546","123648","80",CUARTO,BALVANERA,"3"
"URQUIZA, Gral. 300","3068","5200000","416000000","1695","135593","80",CUARTO,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 2100","1600","1500000","120000000","938","75000","80",CUARTO,BALVANERA,"3"
CHILE 2300,"333","395000","31600000","1186","94895","80",CUARTO,BALVANERA,"3"
VENEZUELA 2500,"110","398000","31840000","3618","289454","80",CUARTO,BALVANERA,"3"
SOLIS 1800,"220","159000","12720000","723","57818","80",CUARTO,CONSTITUCION,"1"
PAVON 1500,"120","180000","14400000","1500","120000","80",CUARTO,CONSTITUCION,"1"
BRASIL 1764,"1585","2200000","176000000","1388","111041","80",CUARTO,CONSTITUCION,"1"
"SAENZ PENA, LUIS, PRES. 1000","282","320000","25600000","1135","90780","80",CUARTO,CONSTITUCION,"1"
"IRIGOYEN, BERNARDO DE 1500","934","920000","73600000","985","78801","80",CUARTO,CONSTITUCION,"1"
CONSTITUCION 1500,"270","320000","25600000","1185","94815","80",CUARTO,CONSTITUCION,"1"
SAN JOSE 1300,"257","300000","24000000","1167","93385","80",CUARTO,CONSTITUCION,"1"
CIUDADELA 1200,"121","89000","7120000","736","58843","80",CUARTO,CONSTITUCION,"1"
SAN JOSE 1918,"191","114000","9120000","597","47749","80",CUARTO,CONSTITUCION,"1"
"CEVALLOS, VIRREY 1000","239","285000","22800000","1192","95398","80",CUARTO,CONSTITUCION,"1"
"CALVO, CARLOS 1600","275","390000","31200000","1418","113454","80",CUARTO,CONSTITUCION,"1"
"CALVO, CARLOS 900","134","335000","26800000","2500","200000","80",CUARTO,CONSTITUCION,"1"
TACUARI 888,"334","470000","37600000","1407","112575","80",CUARTO,CONSTITUCION,"1"
MORENO 1800,"163","330000","26400000","2024","161963","80",CUARTO,MONTSERRAT,"1"
VENEZUELA 1365,"256","220000","17600000","859","68750","80",CUARTO,MONTSERRAT,"1"
MEXICO 1500,"222","525000","42000000","2365","189189","80",CUARTO,MONTSERRAT,"1"
BELGRANO 964,"1048","3900000","312000000","3721","297710","80",CUARTO,MONTSERRAT,"1"
PIEDRAS 157,"1090","3600000","288000000","3303","264220","80",CUARTO,MONTSERRAT,"1"
ENTRE RIOS 100,"800","1200000","96000000","1500","120000","80",CUARTO,MONTSERRAT,"1"
BOLIVAR 652,"449","550000","44000000","1225","97996","80",CUARTO,MONTSERRAT,"1"
MORENO 900,"2609","6500000","520000000","2491","199310","80",CUARTO,MONTSERRAT,"1"
ALBERTI 1600,"206","180000","14400000","874","69903","80",CUARTO,SAN CRISTOBAL,"3"
CHICLANA 1240,"222","200000","16000000","901","72072","80",CUARTO,SAN CRISTOBAL,"3"
COCHABAMBA 3300,"480","200000","16000000","417","33333","80",CUARTO,SAN CRISTOBAL,"3"
HUMBERTO 1° 2900,"172","209000","16720000","1215","97209","80",CUARTO,SAN CRISTOBAL,"3"
DEAN FUNES 1450,"375","220000","17600000","587","46933","80",CUARTO,SAN CRISTOBAL,"3"
ESTADOS UNIDOS 2400,"104","220000","17600000","2115","169231","80",CUARTO,SAN CRISTOBAL,"3"
PAVON 2300,"167","240000","19200000","1437","114970","80",CUARTO,SAN CRISTOBAL,"3"
SAN JUAN 2414,"1780","3300000","264000000","1854","148315","80",CUARTO,SAN CRISTOBAL,"3"
SAN JUAN 3200,"1273","2490000","199200000","1956","156481","80",CUARTO,SAN CRISTOBAL,"3"
MATHEU 1253,"395","1100000","88000000","2785","222785","80",CUARTO,SAN CRISTOBAL,"3"
VIAMONTE 400,"250","1300000","104000000","5200","416000","80",CUARTO,SAN NICOLAS,"1"
CORDOBA 600,"600","2500000","200000000","4167","333333","80",CUARTO,SAN NICOLAS,"1"
CORDOBA 800,"280","3200000","256000000","11429","914286","80",CUARTO,SAN NICOLAS,"1"
LIBERTAD 52,"531","480000","38400000","904","72316","80",CUARTO,SAN NICOLAS,"1"
"PERON, JUAN DOMINGO, TTE. 1500","237","560000","44800000","2363","189030","80",CUARTO,SAN NICOLAS,"1"
RODRIGUEZ PENA 400,"147","950000","76000000","6463","517007","80",CUARTO,SAN NICOLAS,"1"
SARMIENTO 1600,"258","950000","76000000","3682","294574","80",CUARTO,SAN NICOLAS,"1"
PARANA 100,"346","950000","76000000","2746","219653","80",CUARTO,SAN NICOLAS,"1"
"MITRE, BARTOLOME 848","328","1180000","94400000","3598","287805","80",CUARTO,SAN NICOLAS,"1"
"DELLEPIANE, LUIS 655","1300","9500000","760000000","7308","584615","80",CUARTO,SAN NICOLAS,"1"
ESMERALDA 150,"3100","5000000","400000000","1613","129032","80",CUARTO,SAN NICOLAS,"1"
"MITRE, BARTOLOME 1400","1932","3300000","264000000","1708","136646","80",CUARTO,SAN NICOLAS,"1"
BOLIVAR 1120,"134","440000","35200000","3284","262687","80",CUARTO,SAN TELMO,"1"
CHACABUCO 900,"233","450000","36000000","1931","154506","80",CUARTO,SAN TELMO,"1"
COCHABAMBA 500,"450","480000","38400000","1067","85333","80",CUARTO,SAN TELMO,"1"
COCHABAMBA 600,"326","480000","38400000","1472","117791","80",CUARTO,SAN TELMO,"1"
MONROE 1700,"242","530000","42400000","2190","175207","80",CUARTO,BELGRANO,"13"
SUPERI 2400,"436","600000","48000000","1376","110092","80",CUARTO,BELGRANO,"13"
AMENABAR 1800,"93","630000","50400000","6774","541936","80",CUARTO,BELGRANO,"13"
"PINO, Virrey del 1500","97","670000","53600000","6907","552577","80",CUARTO,BELGRANO,"13"
